  c_sec  , code_cultu_c , code_cultu_s ,       s1_c       ,       s1_s       ,     s2_c      ,      s2_s      ,    tot_sai_c     ,    tot_sai_s     ,       pc_sau_c       ,       pc_sau_s       
 332-01  , C81          , C3           ,            40.74 ,            79.72 ,0,           7.44 ,            40.74 ,            87.16 ,     2.41262095675759 ,       5.161611256529
 331-06  , C81          , C3           ,30,             2.82 ,          1.57 ,0,            31.57 ,             2.82 ,     2.01490917910162 ,    0.179982384702774
 331-05  , C81          , C3           ,            13.96 ,             1.78 ,0,           0.77 ,            13.96 ,             2.55 ,    0.620405841414312 ,    0.113326281920236
 331-04  , C81          , C3           ,             5.88 ,              0.2 ,0,0,             5.88 ,              0.2 ,    0.685690296549392 ,   0.0233227992023603
 331-03  , C81          , C3           ,             1.48 ,0,0,0,             1.48 ,0,    0.148887368717557 ,0
 331-02  , C81          , C3           ,            12.15 ,             0.66 ,0,0,            12.15 ,             0.66 ,     1.86309688103781 ,    0.101205262673659
 331-01  , C81          , C3           ,            11.59 ,0,          0.28 ,0,            11.87 ,0,     2.12670656107787 ,0
 323-03  , C81          , C3           ,           590.46 ,0,          3.63 ,           0.13 ,           594.09 ,             0.13 ,     53.9885496183206 ,   0.0118138858596874
 323-02  , C81          , C3           ,            25.44 ,0,0,0,            25.44 ,0,     2.93199027279957 ,0
 323-01  , C81          , C3           ,           381.28 ,             0.13 ,         11.17 ,0,           392.45 ,             0.13 ,     30.0617397432362 ,   0.0099580231026136
 322-04  , C81          , C3           ,           167.24 ,0,0,0,           167.24 ,0,     44.2316847394869 ,0
 322-03  , C81          , C3           ,            16.45 ,             0.98 ,          2.54 ,           0.02 ,            18.99 ,1,     1.68878059191804 ,   0.0889299943084804
 322-02  , C81          , C3           ,           300.43 ,0,          5.63 ,0,           306.06 ,0,     27.3341073501831 ,0
 322-01  , C81          , C3           ,            35.39 ,             0.24 ,         12.54 ,0,            47.93 ,             0.24 ,     2.31825876662636 ,   0.0116082224909311
 321-06  , C81          , C3           ,            33.02 ,4,         11.22 ,            0.8 ,            44.24 ,              4.8 ,     1.76443373801509 ,     0.19143946524576
 321-05  , C81          , C3           ,             9.23 ,0,0,0,             9.23 ,0,     1.82162663561547 ,0
 321-04  , C81          , C3           ,            37.33 ,             1.15 ,0,            0.5 ,            37.33 ,             1.65 ,     1.00840653937999 ,   0.0445719472268145
 321-03  , C81          , C3           ,            34.56 ,0,          0.61 ,            0.4 ,            35.17 ,              0.4 ,     2.01508015630192 ,    0.022918170671617
 321-02  , C81          , C3           ,            92.51 ,             1.28 ,          9.93 ,           0.03 ,           102.44 ,             1.31 ,     3.85377910366907 ,   0.0492820248516837
 321-01  , C81          , C3           ,            69.25 ,             0.13 ,         13.82 ,           0.01 ,            83.07 ,             0.14 ,     6.76306084068095 ,    0.011397959765202
 313-03  , C81          , C3           ,           33.515 ,             0.89 ,         1.945 ,           0.71 ,            35.46 ,              1.6 ,     1.27856811908784 ,   0.0576906088702917
 313-02  , C81          , C3           ,            14.62 ,             0.38 ,          0.25 ,0,            14.87 ,             0.38 ,     1.21529622334644 ,   0.0310566620626528
 313-01  , C81          , C3           ,           62.005 ,             0.12 ,         0.625 ,            0.1 ,            62.63 ,             0.22 ,     3.80261380367633 ,   0.0133574171612453
 312-02  , C81          , C3           ,           522.12 ,             2.55 ,         21.27 ,          1.625 ,           543.39 ,            4.175 ,     20.3643082135181 ,     0.15646402545398
 312-01  , C81          , C3           ,           111.27 ,             0.59 ,          4.05 ,          1.125 ,           115.32 ,            1.715 ,     12.2604549296448 ,     0.18233333510528
 311-03  , C81          , C3           ,          20.8479 ,           0.5033 ,          1.77 ,0,          22.6179 ,           0.5033 ,       8.352033606209 ,    0.185851848049774
 311-02  , C81          , C3           ,           0.9179 ,           0.5633 ,0,           0.14 ,           0.9179 ,           0.7033 ,     0.16532867336663 ,    0.126675733716909
 311-01  , C81          , C3           ,           4.0379 ,           1.2433 ,          5.18 ,           0.51 ,           9.2179 ,           1.7533 ,     1.20051766862618 ,    0.228345678343471
 234-02  , C81          , C3           ,             3.37 ,            65.92 ,0,           7.38 ,             3.37 ,             73.3 ,   0.0826249733368966 ,     1.79715446456811
